date,close
2023-10-02,171.43136596679688
2023-10-03,170.09938049316406
2023-10-04,171.34259033203125
2023-10-05,172.57591247558594
2023-10-06,175.12147521972656
2023-10-09,176.60147094726562
2023-10-10,176.0094757080078
2023-10-11,177.40065002441406
2023-10-12,178.29852294921875
2023-10-13,176.46331787109375
2023-10-16,176.33505249023438
2023-10-17,174.7860107421875
2023-10-18,173.49346923828125
2023-10-19,173.11856079101562
2023-10-20,170.57298278808594
2023-10-23,170.69139099121094
2023-10-24,171.12550354003906
2023-10-25,168.81674194335938
2023-10-26,164.6629180908203
2023-10-27,165.9751739501953
2023-10-30,168.01751708984375
2023-10-31,168.49111938476562
2023-11-01,171.64846801757812
2023-11-02,175.2003936767578
2023-11-03,174.2926788330078
2023-11-06,176.8382568359375
2023-11-07,179.39370727539062
2023-11-08,180.4494171142578
2023-11-09,179.97581481933594
2023-11-10,184.1548614501953
2023-11-13,182.57412719726562
2023-11-14,185.18231201171875
2023-11-15,185.74542236328125
2023-11-16,187.42501831054688
2023-11-17,187.40521240234375
2023-11-20,189.14401245117188
2023-11-21,188.34378051757812
2023-11-22,189.00572204589844
2023-11-24,187.68182373046875
2023-11-27,187.5040283203125
2023-11-28,188.10667419433594
2023-11-29,187.08909606933594
2023-11-30,187.66212463378906
2023-12-01,188.93658447265625
2023-12-04,187.1483612060547
2023-12-05,191.0902862548828
2023-12-06,190.0035858154297
2023-12-07,191.9300537109375
2023-12-08,193.3527374267578
2023-12-11,190.8531951904297
2023-12-12,192.36474609375
2023-12-13,195.57562255859375
2023-12-14,195.7238006591797
2023-12-15,195.19032287597656
2023-12-18,193.5305633544922
2023-12-19,194.56790161132812
2023-12-20,192.48330688476562
2023-12-21,192.3351287841797
2023-12-22,191.26815795898438
2023-12-26,190.72474670410156
2023-12-27,190.82354736328125
2023-12-28,191.2483673095703
2023-12-29,190.2110137939453
2024-01-02,183.4040069580078
2024-01-03,182.03077697753906
2024-01-04,179.7189483642578
2024-01-05,178.9977264404297
2024-01-08,183.32498168945312
2024-01-09,182.9100341796875
2024-01-10,183.94740295410156
2024-01-11,183.35459899902344
2024-01-12,183.68064880371094
2024-01-16,181.41819763183594
2024-01-17,180.4796600341797
2024-01-18,186.35800170898438
2024-01-19,189.25270080566406
2024-01-22,191.55462646484375
2024-01-23,192.82908630371094
2024-01-24,192.1573028564453
2024-01-25,191.83128356933594
2024-01-26,190.10232543945312
2024-01-29,189.420654296875
2024-01-30,185.77511596679688
2024-01-31,182.17892456054688
2024-02-01,184.60931396484375
2024-02-02,183.61151123046875
2024-02-05,185.41944885253906
2024-02-06,187.0199432373047
2024-02-07,187.1286163330078
2024-02-08,186.05174255371094
2024-02-09,186.8134307861328
2024-02-12,185.13172912597656
2024-02-13,183.0445098876953
2024-02-14,182.1641082763672
2024-02-15,181.8772430419922
2024-02-16,180.34393310546875
2024-02-20,179.60205078125
2024-02-21,180.35385131835938
2024-02-22,182.38172912597656
2024-02-23,180.5516815185547
2024-02-26,179.20635986328125
2024-02-27,180.66050720214844
2024-02-28,179.46353149414062
2024-02-29,178.80076599121094
2024-03-01,177.72251892089844
2024-03-04,173.2117156982422
2024-03-05,168.28543090820312
2024-03-06,167.29620361328125
2024-03-07,167.177490234375
2024-03-08,168.8888397216797
2024-03-11,170.88706970214844
2024-03-12,171.36184692382812
2024-03-13,169.2845001220703
2024-03-14,171.1343536376953
2024-03-15,170.75843811035156
2024-03-18,171.84658813476562
2024-03-19,174.18115234375
2024-03-20,176.7432098388672
2024-03-21,169.52191162109375
2024-03-22,170.422119140625
2024-03-25,169.0075225830078
2024-03-26,167.8798370361328
2024-03-27,171.44100952148438
2024-03-28,169.63072204589844
2024-04-01,168.1963653564453
2024-04-02,167.01919555664062
2024-04-03,167.8204803466797
2024-04-04,166.99945068359375
2024-04-05,167.75123596191406
2024-04-08,166.63343811035156
2024-04-09,167.84027099609375
2024-04-10,165.97064208984375
2024-04-11,173.15234375
2024-04-12,174.6460723876953
2024-04-15,170.8276824951172
2024-04-16,167.5533905029297
2024-04-17,166.1882781982422
2024-04-18,165.23861694335938
2024-04-19,163.22064208984375
2024-04-22,164.0515594482422
2024-04-23,165.10012817382812
2024-04-24,167.197265625
2024-04-25,168.0579071044922
2024-04-26,167.47427368164062
2024-04-29,171.62896728515625
2024-04-30,168.49314880371094
2024-05-01,167.47427368164062
2024-05-02,171.16404724121094
2024-05-03,181.4024200439453
2024-05-06,179.7504425048828
2024-05-07,180.4329833984375
2024-05-08,180.76931762695312
2024-05-09,182.57958984375
2024-05-10,181.3215789794922
2024-05-13,184.5210723876953
2024-05-14,185.66021728515625
2024-05-15,187.92860412597656
2024-05-16,188.0474395751953
2024-05-17,188.07717895507812
2024-05-20,189.23611450195312
2024-05-21,190.53375244140625
2024-05-22,189.09744262695312
2024-05-23,185.11541748046875
2024-05-24,188.18612670898438
2024-05-28,188.19606018066406
2024-05-29,188.4932098388672
2024-05-30,189.4837646484375
2024-05-31,190.43470764160156
2024-06-03,192.19789123535156
2024-06-04,192.51487731933594
2024-06-05,194.0205078125
2024-06-06,192.6436309814453
2024-06-07,195.03089904785156
2024-06-10,191.29647827148438
